class,precision,recall,f1,support
MildDemented,0.9986675549633578,0.9993333333333333,0.9990003332222592,1500
ModerateDemented,1.0,1.0,1.0,1500
NonDemented,0.9989561586638831,0.996875,0.9979144942648592,1920
VeryMildDemented,0.995840760546643,0.9976190476190476,0.9967291109128754,1680
