config_name,best_epoch,total_epochs,best_train_accuracy,best_val_accuracy,final_val_loss,training_time_minutes,frozen_layers,trainable_layers
freeze_none,10,10,0.9916250109672546,0.9934375286102295,0.02099611982703209,17.97892081666667,0,175
freeze_conv3,9,10,0.968500018119812,0.9918749928474426,0.026340333744883537,11.88083405,80,95
freeze_conv2,8,10,0.9795588254928589,0.9896875023841858,0.03288779780268669,14.484821466666666,38,137
freeze_conv4,10,10,0.7628750205039978,0.9356250166893005,0.17847709357738495,8.571242283333333,142,33
freeze_conv5,10,10,0.5628757476806641,0.8503124713897705,0.668607771396637,8.33510295,174,1
freeze_conv1,7,7,0.9857214689254761,0.49687498807907104,2.6064870357513428,12.651166100000001,6,169
