class,precision,recall,f1,support
MildDemented,0.9973368841544608,0.9986666666666667,0.9980013324450366,1500
ModerateDemented,1.0,1.0,1.0,1500
NonDemented,0.9968684759916493,0.9947916666666666,0.9958289885297185,1920
VeryMildDemented,0.9946492271105827,0.9958333333333333,0.9952409280190363,1680
