index,name,type,trainable
215,block6d_se_reduce,Conv2D,True
216,block6d_se_expand,Conv2D,True
217,block6d_se_excite,Multiply,True
218,block6d_project_conv,Conv2D,True
219,block6d_project_bn,BatchNormalization,True
220,block6d_drop,Dropout,True
221,block6d_add,Add,True
222,block7a_expand_conv,Conv2D,True
223,block7a_expand_bn,BatchNormalization,True
224,block7a_expand_activation,Activation,True
225,block7a_dwconv,DepthwiseConv2D,True
226,block7a_bn,BatchNormalization,True
227,block7a_activation,Activation,True
228,block7a_se_squeeze,GlobalAveragePooling2D,True
229,block7a_se_reshape,Reshape,True
230,block7a_se_reduce,Conv2D,True
231,block7a_se_expand,Conv2D,True
232,block7a_se_excite,Multiply,True
233,block7a_project_conv,Conv2D,True
234,block7a_project_bn,BatchNormalization,True
235,top_conv,Conv2D,True
236,top_bn,BatchNormalization,True
237,top_activation,Activation,True
